date,used_value,source_observation_date,source_available_at,elapsed_days,in_train,in_val
2019-02-01,1.865,2018-12-31,2019-01-07,25,True,False
2019-02-04,1.865,2018-12-31,2019-01-07,28,True,False
2019-02-05,2.967,2019-01-31,2019-02-05,0,True,False
2019-02-06,2.967,2019-01-31,2019-02-05,1,True,False
2019-02-07,2.967,2019-01-31,2019-02-05,2,True,False
2019-02-08,2.967,2019-01-31,2019-02-05,3,True,False
2019-02-11,2.967,2019-01-31,2019-02-05,6,True,False
2019-02-12,2.967,2019-01-31,2019-02-05,7,True,False
2019-02-13,2.967,2019-01-31,2019-02-05,8,True,False
2019-02-14,2.967,2019-01-31,2019-02-05,9,True,False
2019-02-15,2.967,2019-01-31,2019-02-05,10,True,False
2019-02-19,2.967,2019-01-31,2019-02-05,14,True,False
2019-02-20,2.967,2019-01-31,2019-02-05,15,True,False
2019-02-21,2.967,2019-01-31,2019-02-05,16,True,False
2019-02-22,2.967,2019-01-31,2019-02-05,17,True,False
2019-02-25,2.967,2019-01-31,2019-02-05,20,True,False
2019-02-26,2.967,2019-01-31,2019-02-05,21,True,False
2019-02-27,2.967,2019-01-31,2019-02-05,22,True,False
2019-02-28,2.967,2019-01-31,2019-02-05,23,True,False
2019-03-01,2.967,2019-01-31,2019-02-05,24,True,False
2019-03-04,2.967,2019-01-31,2019-02-05,27,True,False
2019-03-05,2.967,2019-01-31,2019-02-05,28,True,False
2019-03-06,2.967,2019-01-31,2019-02-05,29,True,False
2019-03-07,2.117,2019-02-28,2019-03-07,0,True,False
2019-03-08,2.117,2019-02-28,2019-03-07,1,True,False
2019-03-11,2.117,2019-02-28,2019-03-07,4,True,False
2019-03-12,2.117,2019-02-28,2019-03-07,5,True,False
2019-03-13,2.117,2019-02-28,2019-03-07,6,True,False
2019-03-14,2.117,2019-02-28,2019-03-07,7,True,False
2019-03-15,2.117,2019-02-28,2019-03-07,8,True,False
2019-03-18,2.117,2019-02-28,2019-03-07,11,True,False
2019-03-19,2.117,2019-02-28,2019-03-07,12,True,False
2019-03-20,2.117,2019-02-28,2019-03-07,13,True,False
